Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-09-28,2415943,WITHDRAWAL,0.0,15.0,0.0
2024-09-28,2440957,WITHDRAWAL,0.0,750.0,0.0
2024-09-28,2316296,WITHDRAWAL,0.0,905.0,0.0
2024-09-28,2541685,WITHDRAWAL,0.0,500.0,0.0
2024-09-29,39995,DEBIT,99.0,0.0,502.36
2024-09-29,60111,WITHDRAWAL,0.0,500.0,0.0
2024-09-29,2199497,WITHDRAWAL,0.0,2199497.0,77631667.0
2024-09-30,923002046,CREDIT,0.0,923002046.0,0.0
2024-10-01,1477817,DEPOSIT,0.0,1477817.0,0.0
2024-10-01,1697586,DEPOSIT,0.0,1697586.0,0.0
2024-10-01,1763937,WITHDRAWAL,0.0,490.0,0.0
2024-10-01,1778112,WITHDRAWAL,0.0,70.0,0.0
2024-07-02,1339179,DEBIT,777.0,0.0,5633.63
2024-07-03,1481169,DEBIT,10.0,0.0,5623.63
2024-07-05,1959014,DEBIT,50.0,0.0,5573.63
2024-07-06,1566099,DEPOSIT,0.0,1566099.0,0.0
2024-07-06,1579549,DEBIT,10.0,0.0,5863.63
2024-07-06,1773747,WITHDRAWAL,0.0,50.0,0.0
2024-07-06,1841027,WITHDRAWAL,0.0,30.0,0.0
2024-07-06,1847651,WITHDRAWAL,0.0,100.0,0.0
2024-07-06,1901393,WITHDRAWAL,0.0,170.0,0.0
2024-07-06,1907313,WITHDRAWAL,0.0,100.0,0.0
2024-07-06,1917857,WITHDRAWAL,0.0,105.0,0.0
2024-07-06,1937238,WITHDRAWAL,0.0,150.0,0.0
2024-07-06,1967752,WITHDRAWAL,0.0,100.0,0.0
2024-07-07,1399924,WITHDRAWAL,0.0,30.0,0.0
2024-07-10,1383750,WITHDRAWAL,0.0,150.0,0.0
2024-07-10,1398311,DEBIT,25.0,0.0,4853.63
2024-07-11,666780,WITHDRAWAL,0.0,666780.0,0.0
2024-07-12,2172396,DEBIT,10.0,0.0,843.63
2024-07-12,2172584,CREDIT,2172584.0,0.0,0.0
2024-07-14,1838771,WITHDRAWAL,0.0,166.0,0.0
